h,e,a,d,i,n,g,_,r,o,w
"['EUW1_6954652113', 15, 58, 20, 1, 0, 1, 0, 8, 1, 384, 92, 32609, 32374, 50848, 4, 21, 12, 0, 0, 0, 0, 9, 311, 71, 26585, 28108, 34706, 1]"
"['EUW1_6954639662', 7, 30, 16, 2, 0, 1, 0, 6, 0, 395, 90, 31399, 32184, 41709, 2, 38, 9, 0, 0, 2, 0, 5, 334, 76, 24106, 27484, 20520, 1]"
"['EUW1_6954609893', 5, 41, 10, 1, 0, 0, 0, 17, 0, 378, 77, 26571, 29122, 21308, 7, 32, 9, 0, 1, 3, 0, 1, 408, 91, 29363, 30394, 24132, 0]"
"['EUW1_6954425421', 6, 22, 13, 1, 0, 0, 0, 9, 0, 349, 91, 26879, 30902, 31089, 5, 24, 15, 0, 0, 3, 0, 3, 364, 130, 31416, 32439, 36107, 0]"
"['EUW1_6954410167', 5, 39, 22, 0, 0, 5, 0, 6, 1, 395, 100, 36222, 32891, 54291, 2, 20, 15, 1, 0, 0, 0, 10, 270, 78, 26426, 28127, 33786, 1]"
"['EUW1_6954391205', 1, 68, 10, 0, 0, 0, 0, 15, 0, 262, 52, 23897, 25404, 33419, 5, 25, 27, 2, 0, 7, 1, 0, 418, 111, 39126, 35202, 61532, 0]"
"['EUW1_6954357044', 5, 43, 16, 1, 0, 1, 0, 6, 0, 326, 80, 29502, 31432, 39070, 8, 28, 14, 0, 0, 0, 0, 5, 346, 78, 26931, 31171, 31707, 1]"
"['EUW1_6954326557', 3, 26, 6, 0, 0, 1, 0, 8, 0, 394, 92, 26802, 30600, 26580, 3, 33, 5, 1, 0, 0, 0, 6, 383, 104, 24432, 30205, 26243, 1]"
"['EUW1_6954224711', 6, 77, 24, 1, 0, 2, 0, 11, 0, 367, 70, 33044, 32575, 46856, 3, 22, 12, 1, 0, 0, 0, 6, 316, 90, 26811, 30579, 33242, 1]"
"['EUW1_6954185867', 3, 31, 11, 0, 0, 0, 0, 14, 1, 356, 70, 26229, 28365, 30771, 9, 35, 20, 1, 1, 2, 0, 2, 374, 94, 33841, 32853, 37664, 0]"
"['EUW1_6954134902', 4, 28, 11, 0, 0, 0, 0, 10, 1, 345, 68, 26039, 29327, 33524, 3, 29, 7, 2, 0, 0, 0, 2, 369, 84, 26511, 30092, 29554, 0]"
"['EUW1_6954073065', 2, 27, 11, 2, 0, 2, 0, 10, 1, 392, 90, 29448, 32071, 29490, 4, 42, 4, 0, 0, 1, 0, 5, 272, 97, 22355, 26237, 18751, 1]"
"['EUW1_6954004019', 2, 21, 6, 0, 0, 1, 0, 11, 0, 343, 92, 24974, 30573, 26556, 5, 33, 11, 2, 0, 1, 0, 4, 384, 96, 29207, 31732, 32849, 0]"
"['EUW1_6958834571', 6, 35, 13, 1, 0, 0, 0, 12, 1, 364, 110, 30099, 30431, 37943, 7, 61, 16, 0, 0, 2, 0, 5, 375, 68, 30549, 30268, 38291, 0]"
"['EUW1_6958499486', 8, 33, 16, 1, 0, 0, 0, 7, 1, 400, 79, 29432, 31671, 34200, 4, 31, 6, 0, 0, 0, 0, 2, 400, 83, 25558, 29101, 28239, 0]"
"['EUW1_6958426811', 2, 29, 13, 2, 1, 1, 0, 7, 1, 362, 86, 28818, 29854, 30686, 4, 28, 7, 0, 0, 0, 0, 5, 364, 114, 25934, 30133, 22866, 1]"
"['EUW1_6958364051', 2, 32, 15, 1, 0, 0, 0, 5, 1, 363, 127, 29032, 33000, 33809, 3, 49, 16, 1, 0, 1, 0, 2, 316, 104, 29221, 29268, 33770, 1]"
"['EUW1_6958284740', 0, 27, 10, 0, 0, 0, 0, 11, 0, 429, 102, 30560, 32329, 27132, 3, 31, 11, 1, 0, 1, 0, 1, 414, 93, 26859, 32292, 30878, 1]"
"['EUW1_6958250604', 5, 32, 18, 0, 0, 1, 0, 6, 1, 341, 85, 30461, 29832, 43197, 2, 49, 13, 2, 0, 0, 0, 6, 326, 88, 27174, 27161, 31520, 1]"
